agent,bytes,clientip,extension,geo.coordinates,geo.dest,geo.src,geo.srcdest,hour_of_day,ip,machine.os,machine.ram,memory,message,phpmemory,referer,request,response,url,utc_time
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"9,020",69.141.33.21,deb,"{
  ""lat"": 40.7952425,
  ""lon"": -73.10021194
}",CN,CN,CN:CN,13,69.141.33.21,win xp,"11,811,160,064",,"69.141.33.21 - - [2018-08-04T13:28:50.243Z] ""GET /elasticsearch/elasticsearch-6.3.2.deb HTTP/1.1"" 200 9020 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/jean-jacques-favier,/elasticsearch/elasticsearch-6.3.2.deb,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb,"August 4th 2018, 13:28:50.243"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"3,692",134.157.177.139,gz,"{
  ""lat"": 33.30515528,
  ""lon"": -81.10898917
}",IN,CN,CN:IN,13,134.157.177.139,osx,"19,327,352,832",,"134.157.177.139 - - [2018-08-04T13:22:00.238Z] ""GET /kibana/kibana-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 3692 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://facebook.com/success/nikolay-rukavishnikov,/kibana/kibana-6.3.2-linux-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz,"August 4th 2018, 13:22:00.238"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","7,420",32.199.56.36,gz,"{
  ""lat"": 42.89839944,
  ""lon"": -72.27078111
}",CN,IN,IN:CN,13,32.199.56.36,win 8,"5,368,709,120",,"32.199.56.36 - - [2018-08-04T13:19:59.886Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 7420 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/success/donald-peterson,/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz,"August 4th 2018, 13:19:59.886"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"1,504",246.104.241.253,,"{
  ""lat"": 40.73210556,
  ""lon"": -92.42826889
}",CN,CN,CN:CN,13,246.104.241.253,win xp,"18,253,611,008",,"246.104.241.253 - - [2018-08-04T13:18:45.603Z] ""GET /elasticsearch HTTP/1.1"" 200 1504 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://twitter.com/success/loren-shriver,/elasticsearch,200,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 13:18:45.603"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","4,910",203.9.7.202,,"{
  ""lat"": 58.35496194,
  ""lon"": -134.5762764
}",TR,CZ,CZ:TR,13,203.9.7.202,win 8,"10,737,418,240",,"203.9.7.202 - - [2018-08-04T13:16:43.745Z] ""GET / HTTP/1.1"" 200 4910 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/sandra-magnus,/,200,https://www.elastic.co/downloads,"August 4th 2018, 13:16:43.745"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","3,331",249.69.222.185,zip,"{
  ""lat"": 40.56943056,
  ""lon"": -102.2726875
}",IN,CN,CN:IN,13,249.69.222.185,win 8,"11,811,160,064",,"249.69.222.185 - - [2018-08-04T13:12:52.982Z] ""GET /apm-server/apm-server-6.3.2-windows-x86.zip HTTP/1.1"" 200 3331 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/ernst-messerschmid,/apm-server/apm-server-6.3.2-windows-x86.zip,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,"August 4th 2018, 13:12:52.982"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"1,541",27.125.25.29,,"{
  ""lat"": 66.91528667,
  ""lon"": -151.5280556
}",DE,CN,CN:DE,13,27.125.25.29,ios,"17,179,869,184",,"27.125.25.29 - - [2018-08-04T13:09:58.195Z] ""GET /beats HTTP/1.1"" 200 1541 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/mary-l-cleave,/beats,200,https://www.elastic.co/downloads/beats,"August 4th 2018, 13:09:58.195"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"5,212",129.138.185.193,zip,"{
  ""lat"": 42.77801778,
  ""lon"": -96.19368944
}",RU,ET,ET:RU,13,129.138.185.193,osx,"19,327,352,832",,"129.138.185.193 - - [2018-08-04T13:07:43.872Z] ""GET /elasticsearch/elasticsearch-6.3.2.zip HTTP/1.1"" 200 5212 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/karol-bobko,/elasticsearch/elasticsearch-6.3.2.zip,200,https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip,"August 4th 2018, 13:07:43.872"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),0,42.120.244.47,,"{
  ""lat"": 48.28384528,
  ""lon"": -115.4902453
}",IN,SY,SY:IN,13,42.120.244.47,ios,"8,589,934,592",,"42.120.244.47 - - [2018-08-04T13:05:33.633Z] ""GET /elasticsearch HTTP/1.1"" 503 0 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/luca-parmitano,/elasticsearch,503,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 13:05:33.633"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","3,907",246.104.241.253,gz,"{
  ""lat"": 34.19592833,
  ""lon"": -96.67555694
}",PH,CN,CN:PH,13,246.104.241.253,win 8,"21,474,836,480",,"246.104.241.253 - - [2018-08-04T13:05:00.799Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz HTTP/1.1"" 200 3907 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/warning/jeremy-hansen,/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz,200,https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz,"August 4th 2018, 13:05:00.799"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"6,803",15.173.52.16,gz,"{
  ""lat"": 46.99016361,
  ""lon"": -94.20400222
}",ET,IN,IN:ET,13,15.173.52.16,win 7,"21,474,836,480",,"15.173.52.16 - - [2018-08-04T13:04:41.784Z] ""GET /kibana/kibana-6.3.2-darwin-x86_64.tar.gz HTTP/1.1"" 200 6803 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/ronald-sega,/kibana/kibana-6.3.2-darwin-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz,"August 4th 2018, 13:04:41.784"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","5,900",45.138.21.203,css,"{
  ""lat"": 37.00888889,
  ""lon"": -85.10277778
}",CN,CO,CO:CN,13,45.138.21.203,osx,"11,811,160,064",,"45.138.21.203 - - [2018-08-04T13:03:51.559Z] ""GET /styles/ads.css HTTP/1.1"" 200 5900 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/success/richard-mullane,/styles/ads.css,200,https://cdn.elastic-elastic-elastic.org/styles/ads.css,"August 4th 2018, 13:03:51.559"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","5,847",103.201.131.77,zip,"{
  ""lat"": 62.64858333,
  ""lon"": -160.1898889
}",MX,CO,CO:MX,12,103.201.131.77,osx,"21,474,836,480",,"103.201.131.77 - - [2018-08-04T12:58:42.516Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 5847 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/claudie-haigner-,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 12:58:42.516"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,357",220.218.116.96,rpm,"{
  ""lat"": 30.75016667,
  ""lon"": -92.68847222
}",CO,VN,VN:CO,12,220.218.116.96,ios,"9,663,676,416",,"220.218.116.96 - - [2018-08-04T12:56:01.706Z] ""GET /beats/metricbeat/metricbeat-6.3.2-i686.rpm HTTP/1.1"" 200 2357 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/mercury-redstone-3,/beats/metricbeat/metricbeat-6.3.2-i686.rpm,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm,"August 4th 2018, 12:56:01.706"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"1,519",210.170.134.119,zip,"{
  ""lat"": 35.922295,
  ""lon"": -84.68966278
}",PH,BD,BD:PH,12,210.170.134.119,osx,"20,401,094,656",,"210.170.134.119 - - [2018-08-04T12:53:08.967Z] ""GET /apm-server/apm-server-6.3.2-windows-x86.zip HTTP/1.1"" 200 1519 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/sergei-avdeyev,/apm-server/apm-server-6.3.2-windows-x86.zip,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,"August 4th 2018, 12:53:08.967"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,902",105.227.4.182,css,"{
  ""lat"": 39.00035833,
  ""lon"": -80.27392778
}",US,IN,IN:US,12,105.227.4.182,win 7,"21,474,836,480",,"105.227.4.182 - - [2018-08-04T12:46:04.358Z] ""GET /styles/ads.css HTTP/1.1"" 200 2902 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://facebook.com/success/aleksandr-samokutyayev,/styles/ads.css,200,https://cdn.elastic-elastic-elastic.org/styles/ads.css,"August 4th 2018, 12:46:04.358"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"9,382",22.8.152.230,zip,"{
  ""lat"": 64.55305556,
  ""lon"": -163.0088889
}",IN,JP,JP:IN,12,22.8.152.230,osx,"18,253,611,008",,"22.8.152.230 - - [2018-08-04T12:44:38.450Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 9382 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/success/pavel-vinogradov,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 12:44:38.450"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","8,489",139.135.227.66,deb,"{
  ""lat"": 33.93011222,
  ""lon"": -89.34285194
}",RS,IN,IN:RS,12,139.135.227.66,win 8,"32,212,254,720",,"139.135.227.66 - - [2018-08-04T12:42:28.699Z] ""GET /apm-server/apm-server-6.3.2-amd64.deb HTTP/1.1"" 200 8489 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/warning/alexander-viktorenko,/apm-server/apm-server-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-amd64.deb,"August 4th 2018, 12:42:28.699"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","3,710",138.234.210.146,,"{
  ""lat"": 63.99454722,
  ""lon"": -145.7216417
}",CN,MY,MY:CN,12,138.234.210.146,ios,"18,253,611,008",,"138.234.210.146 - - [2018-08-04T12:41:46.929Z] ""GET /beats/metricbeat HTTP/1.1"" 200 3710 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/bjarni-tryggvason,/beats/metricbeat,200,https://www.elastic.co/downloads/beats/metricbeat,"August 4th 2018, 12:41:46.929"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"6,740",27.243.169.69,,"{
  ""lat"": 31.24905556,
  ""lon"": -82.39530556
}",IN,IR,IR:IN,12,27.243.169.69,win 8,"18,253,611,008",,"27.243.169.69 - - [2018-08-04T12:39:11.421Z] ""GET /beats/filebeat HTTP/1.1"" 200 6740 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/ed-givens,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 12:39:11.421"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","6,835",106.96.54.101,zip,"{
  ""lat"": 28.06291667,
  ""lon"": -81.75330556
}",IN,FR,FR:IN,12,106.96.54.101,win xp,"20,401,094,656",,"106.96.54.101 - - [2018-08-04T12:35:07.399Z] ""GET /apm-server/apm-server-6.3.2-windows-x86.zip HTTP/1.1"" 200 6835 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://nytimes.com/success/mark-polansky,/apm-server/apm-server-6.3.2-windows-x86.zip,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,"August 4th 2018, 12:35:07.399"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","5,974",30.156.16.163,,"{
  ""lat"": 43.66499083,
  ""lon"": -92.933385
}",MM,US,US:MM,12,30.156.16.163,win xp,"16,106,127,360",,"30.156.16.163 - - [2018-08-04T12:28:45.295Z] ""GET /beats/filebeat HTTP/1.1"" 200 5974 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/sally-ride,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 12:28:45.295"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","7,471",116.174.134.165,deb,"{
  ""lat"": 42.91669444,
  ""lon"": -97.38594444
}",CN,IT,IT:CN,12,116.174.134.165,ios,"18,253,611,008",,"116.174.134.165 - - [2018-08-04T12:27:00.418Z] ""GET /apm-server/apm-server-6.3.2-amd64.deb HTTP/1.1"" 200 7471 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/oleg-skripochka,/apm-server/apm-server-6.3.2-amd64.deb,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-amd64.deb,"August 4th 2018, 12:27:00.418"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","5,493",206.192.169.175,css,"{
  ""lat"": 37.74163111,
  ""lon"": -92.14073611
}",PK,IN,IN:PK,12,206.192.169.175,win 7,"2,147,483,648",,"206.192.169.175 - - [2018-08-04T12:24:59.956Z] ""GET /styles/pretty-layout.css HTTP/1.1"" 200 5493 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/error/richard-n-richards,/styles/pretty-layout.css,200,https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css,"August 4th 2018, 12:24:59.956"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","9,113",208.165.21.144,zip,"{
  ""lat"": 34.41232833,
  ""lon"": -91.46634722
}",MM,CL,CL:MM,12,208.165.21.144,win 7,"15,032,385,536",,"208.165.21.144 - - [2018-08-04T12:24:47.147Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 9113 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/zhugderdemidiyn-gurragcha,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 12:24:47.147"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"2,252",20.126.170.212,,"{
  ""lat"": 38.54517861,
  ""lon"": -89.83518444
}",PK,MX,MX:PK,12,20.126.170.212,ios,"12,884,901,888",,"20.126.170.212 - - [2018-08-04T12:24:45.429Z] ""GET /elasticsearch HTTP/1.1"" 200 2252 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://nytimes.com/success/kenneth-cockrell,/elasticsearch,200,https://www.elastic.co/downloads/elasticsearch,"August 4th 2018, 12:24:45.429"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","6,366",160.20.100.193,zip,"{
  ""lat"": 30.68586111,
  ""lon"": -95.01792778
}",CN,CN,CN:CN,12,160.20.100.193,osx,"13,958,643,712",,"160.20.100.193 - - [2018-08-04T12:24:38.809Z] ""GET /apm-server/apm-server-6.3.2-windows-x86.zip HTTP/1.1"" 200 6366 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://www.elastic-elastic-elastic.com/success/georgi-shonin,/apm-server/apm-server-6.3.2-windows-x86.zip,200,https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip,"August 4th 2018, 12:24:38.809"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),922,26.79.15.179,,"{
  ""lat"": 37.32546833,
  ""lon"": -79.97542833
}",IN,EG,EG:IN,12,26.79.15.179,osx,"6,442,450,944",,"26.79.15.179 - - [2018-08-04T12:22:44.754Z] ""GET /enterprise-search HTTP/1.1"" 200 922 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://twitter.com/success/dorothy-m-metcalf-lindenburger,/enterprise-search,200,https://www.elastic.co/solutions/enterprise-search,"August 4th 2018, 12:22:44.754"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,910",63.238.199.177,zip,"{
  ""lat"": 35.54094139,
  ""lon"": -78.39032944
}",US,CN,CN:US,12,63.238.199.177,osx,"21,474,836,480",,"63.238.199.177 - - [2018-08-04T12:20:15.768Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 2910 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://twitter.com/success/david-saint-jacques,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 12:20:15.768"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"2,710",36.29.26.89,gz,"{
  ""lat"": 59.11816472,
  ""lon"": -156.8652169
}",CS,CN,CN:CS,12,36.29.26.89,win xp,"11,811,160,064",,"36.29.26.89 - - [2018-08-04T12:20:00.953Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz HTTP/1.1"" 200 2710 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://www.elastic-elastic-elastic.com/error/thomas-pesquet,/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz,200,https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz,"August 4th 2018, 12:20:00.953"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","8,210",186.181.227.73,zip,"{
  ""lat"": 40.33305028,
  ""lon"": -75.12233833
}",CN,VN,VN:CN,12,186.181.227.73,win 8,"15,032,385,536",,"186.181.227.73 - - [2018-08-04T12:18:38.707Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 8210 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/success/edward-white,/kibana/kibana-6.3.2-windows-x86_64.zip,200,https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip,"August 4th 2018, 12:18:38.707"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),102,230.216.156.248,,"{
  ""lat"": 38.59117917,
  ""lon"": -92.15614389
}",CN,BR,BR:CN,12,230.216.156.248,ios,"8,589,934,592",,"230.216.156.248 - - [2018-08-04T12:15:26.112Z] ""GET /app-search HTTP/1.1"" 200 102 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/sergei-avdeyev,/app-search,200,https://www.elastic.co/solutions/app-search,"August 4th 2018, 12:15:26.112"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","8,950",207.142.100.247,css,"{
  ""lat"": 64.54898167,
  ""lon"": -149.0735053
}",CN,CN,CN:CN,12,207.142.100.247,ios,"3,221,225,472",,"207.142.100.247 - - [2018-08-04T12:10:21.471Z] ""GET /styles/app.css HTTP/1.1"" 200 8950 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://facebook.com/success/robert-j-cenker,/styles/app.css,200,https://cdn.elastic-elastic-elastic.org/styles/app.css,"August 4th 2018, 12:10:21.471"
Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1,"6,772",99.74.118.237,,"{
  ""lat"": 34.54722222,
  ""lon"": -89.02416667
}",US,TH,TH:US,12,99.74.118.237,ios,"4,294,967,296",,"99.74.118.237 - - [2018-08-04T12:10:16.574Z] ""GET /apm HTTP/1.1"" 200 6772 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""",,http://facebook.com/warning/roberta-bondar,/apm,200,https://www.elastic.co/downloads/apm,"August 4th 2018, 12:10:16.574"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"2,701",184.19.167.161,,"{
  ""lat"": 41.29888556,
  ""lon"": -93.11381556
}",ZM,BF,BF:ZM,12,184.19.167.161,win 8,"15,032,385,536",,"184.19.167.161 - - [2018-08-04T12:09:07.135Z] ""GET /beats/filebeat HTTP/1.1"" 200 2701 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://www.elastic-elastic-elastic.com/success/michel-tognini,/beats/filebeat,200,https://www.elastic.co/downloads/beats/filebeat,"August 4th 2018, 12:09:07.135"
"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","9,606",38.222.96.139,gz,"{
  ""lat"": 44.09483333,
  ""lon"": -121.2006389
}",TR,JP,JP:TR,12,38.222.96.139,win 8,"16,106,127,360",,"38.222.96.139 - - [2018-08-04T12:05:45.980Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 9606 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""",,http://twitter.com/success/vladim-r-remek,/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz,200,https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz,"August 4th 2018, 12:05:45.980"
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322),"16,965",8.106.16.196,rpm,"{
  ""lat"": 40.30918056,
  ""lon"": -81.85338194
}",BR,TR,TR:BR,12,8.106.16.196,win 7,"15,032,385,536",,"8.106.16.196 - - [2018-08-04T12:03:37.962Z] ""GET /beats/metricbeat/metricbeat-6.3.2-i686.rpm HTTP/1.1"" 200 16965 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""",,http://nytimes.com/success/yuri-artyukhin,/beats/metricbeat/metricbeat-6.3.2-i686.rpm,200,https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm,"August 4th 2018, 12:03:37.962"
